b'id',b'lat',b'lon',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'14840399',b'33.7139285',b'-117.7873083',b'Stephen214',b'4018842',b'10',b'56830249',b'2018-03-02T19:24:37Z'
b'17411427',b'33.6436747',b'-117.7350497',b'Baloo Uriza',b'92286',b'4',b'81891099',b'2020-03-07T06:04:00Z'
b'31541362',b'33.6476897',b'-117.8837898',b'Apo42',b'25510',b'4',b'2422787',b'2009-09-09T09:39:25Z'
b'31543640',b'33.6493500',b'-117.8768708',b'n76',b'318696',b'5',b'41585686',b'2016-08-21T02:34:47Z'
b'31546144',b'33.6497832',b'-117.8728636',b'Apo42',b'25510',b'4',b'2422787',b'2009-09-09T09:39:32Z'
b'32277633',b'33.6995664',b'-117.8631299',b'karitotp',b'2748195',b'6',b'37598171',b'2016-03-03T22:39:24Z'
b'32296301',b'33.6904416',b'-117.8694470',b'Baloo Uriza',b'92286',b'9',b'81803899',b'2020-03-05T05:16:26Z'
b'32450195',b'33.6608446',b'-117.7830684',b'Reemal_lyft',b'8899833',b'4',b'73385907',b'2019-08-15T16:50:47Z'
b'33088598',b'33.7270082',b'-117.8348930',b'Stephen214',b'4018842',b'10',b'56878784',b'2018-03-04T18:59:51Z'
b'33088754',b'33.6988779',b'-117.8127675',b'SJFriedl',b'2709708',b'18',b'32020974',b'2015-06-17T04:39:13Z'
b'33088802',b'33.7158090',b'-117.7983119',b'Fluffy89502',b'10165657',b'19',b'72451143',b'2019-07-20T04:09:34Z'
b'33088839',b'33.7193274',b'-117.7939193',b'Fluffy89502',b'10165657',b'7',b'75332778',b'2019-10-06T06:25:24Z'
b'36763654',b'33.7108902',b'-117.8547491',b'stevea',b'123633',b'4',b'28658625',b'2015-02-06T18:59:05Z'
b'60410324',b'33.6623411',b'-117.7886657',b'Baloo Uriza',b'92286',b'7',b'81889303',b'2020-03-07T04:09:50Z'
b'60411101',b'33.6403076',b'-117.7313653',b'Baloo Uriza',b'92286',b'93',b'78285534',b'2019-12-12T01:24:33Z'
b'60411115',b'33.6677142',b'-117.7532747',b'Phil Shipley',b'44659',b'92',b'813936',b'2009-03-15T19:38:06Z'
b'60411130',b'33.6831101',b'-117.7636409',b'AM909',b'82317',b'65',b'4674724',b'2010-05-12T06:58:17Z'
b'60411140',b'33.7074567',b'-117.7797502',b'Phil Shipley',b'44659',b'64',b'813936',b'2009-03-15T19:41:10Z'
b'122562372',b'33.6776982',b'-117.7525915',b'ctr112280',b'351693',b'5',b'12443834',b'2012-07-23T04:10:34Z'
b'122562408',b'33.6827571',b'-117.7633531',b'Fluffy89502',b'10165657',b'8',b'81190749',b'2020-02-18T22:25:51Z'
b'122563520',b'33.6134371',b'-117.7430395',b'vardhamk',b'10159523',b'5',b'79046010',b'2019-12-31T07:55:44Z'
b'122563593',b'33.6263643',b'-117.8458058',b'ToeBee',b'262151',b'5',b'12443128',b'2012-07-23T05:20:33Z'
b'122563642',b'33.6215962',b'-117.8433091',b'ToeBee',b'262151',b'5',b'12443128',b'2012-07-23T05:20:34Z'
b'122563688',b'33.6196844',b'-117.8412610',b'ToeBee',b'262151',b'5',b'12443128',b'2012-07-23T05:20:34Z'
b'122564551',b'33.6676642',b'-117.7538226',b'Bill Sellin',b'6203853',b'6',b'51768511',b'2017-09-06T04:18:44Z'
b'122566217',b'33.6191455',b'-117.8211794',b'jdoniche',b'10173458',b'8',b'79015029',b'2019-12-30T13:15:50Z'
b'122568791',b'33.6797706',b'-117.7798543',b'SJFriedl',b'2709708',b'6',b'37065369',b'2016-02-07T18:38:06Z'
b'122570323',b'33.6857374',b'-117.8230469',b'jumbanho',b'38487',b'5',b'12419412',b'2012-07-21T20:24:23Z'
b'122572408',b'33.6137074',b'-117.7360952',b'shadty',b'8407158',b'4',b'69027010',b'2019-04-09T01:53:07Z'
b'122572676',b'33.6135974',b'-117.7392398',b'siayu',b'10457694',b'4',b'80893904',b'2020-02-12T08:55:18Z'
b'122573586',b'33.6999372',b'-117.8623592',b'AM909',b'82317',b'5',b'4311750',b'2010-04-03T11:03:49Z'
