b'id',b'node_id',b'position'
b'4922641',b'32277578',0
b'4922641',b'7270893136',1
b'4922641',b'7270893135',2
b'4922641',b'32296246',3
b'4922641',b'32296233',4
b'4922641',b'7270893134',5
b'4922641',b'624516624',6
b'4922641',b'4083506105',7
b'13279355',b'14840399',0
b'13279355',b'730766019',1
b'13279355',b'730766053',2
b'13279355',b'122563448',3
b'13279355',b'730766099',4
b'13279355',b'730766073',5
b'13279355',b'122563454',6
b'13279355',b'730766119',7
b'13279355',b'122563458',8
b'13280237',b'122570296',0
b'13280237',b'2369115932',1
b'13280237',b'122570309',2
b'13280237',b'122570311',3
b'13280237',b'122570314',4
b'13280602',b'2938358180',0
b'13280602',b'2938358120',1
b'13280602',b'2938358122',2
b'13280602',b'2938361183',3
b'13280602',b'2938361190',4
b'13280602',b'2938361215',5
b'13280602',b'2938358125',6
b'13280978',b'122576517',0
b'13280978',b'7121720758',1
b'13281481',b'7259727224',0
b'13281481',b'1832516639',1
b'13281481',b'1832516665',2
b'13281481',b'1832516643',3
b'13281481',b'1832516651',4
b'13281481',b'1832516668',5
b'13281481',b'1832516865',6
b'13281481',b'1832516617',7
b'13281481',b'1832516902',8
b'13281481',b'1832516781',9
b'13281481',b'1832516789',10
b'13281481',b'1832516745',11
b'13281702',b'122583107',0
b'13281702',b'122583102',1
b'13282225',b'122586650',0
b'13282225',b'122586647',1
b'13282225',b'122586653',2
b'13282732',b'122590658',0
b'13282732',b'122590654',1
b'13282732',b'122590661',2
b'13283625',b'296097214',0
b'13283625',b'7050837167',1
b'13284964',b'7050668537',0
b'13284964',b'122602663',1
b'13284964',b'7050668536',2
b'13284964',b'296106708',3
b'13284964',b'296106709',4
b'13284964',b'296107284',5
b'13286156',b'122607823',0
b'13286156',b'3642808743',1
b'13286156',b'122607825',2
b'13286752',b'3988723941',0
b'13286752',b'296094935',1
b'13286752',b'3988723938',2
b'13286752',b'3988723937',3
b'13286752',b'3988723934',4
b'13286752',b'3988723929',5
b'13286752',b'296091777',6
b'13286752',b'3988723923',7
b'13286752',b'3988723915',8
b'13286752',b'3988723910',9
b'13286752',b'296094936',10
b'13286752',b'3988723902',11
b'13286752',b'296094937',12
b'13286752',b'3988723877',13
b'13286752',b'3988723867',14
b'13287311',b'122614356',0
b'13287311',b'1832669130',1
b'13287311',b'1832669128',2
b'13287311',b'1832669127',3
b'13287311',b'122614358',4
b'13287311',b'1955726816',5
b'13287311',b'6199168488',6
b'13287311',b'122614360',7
b'13287311',b'122614362',8
b'13287311',b'122614364',9
b'13287311',b'122614368',10
b'13287311',b'1955726802',11
b'13287311',b'122614371',12
b'13287311',b'1955726805',13
b'13287311',b'122614375',14
b'13287311',b'1955726793',15
b'13287311',b'1832669125',16
b'13287311',b'1832669124',17
b'13287311',b'1955726785',18
b'13287311',b'122614378',19
b'13287311',b'1955726803',20
b'13287311',b'3712356228',21
b'13287311',b'122614383',22
b'13287311',b'122614386',23
b'13287311',b'122614387',24
b'13287311',b'1832669129',25
b'13287311',b'4637037313',26
b'13287311',b'1832669131',27
b'13287311',b'122614410',28
b'13287311',b'1822415586',29
b'13287311',b'1955726918',30
b'13287311',b'122614415',31
b'13287718',b'122616610',0
b'13287718',b'1262608656',1
b'13287718',b'1262608632',2
b'13287718',b'1262608651',3
