b'id',b'key',b'value',b'type'
b'4922641',b'bicycle',b'no',b'regular'
b'4922641',b'street',b'Jamboree Road',b'destination'
b'4922641',b'highway',b'motorway_link',b'regular'
b'4922641',b'ref',b'7',b'junction'
b'4922641',b'lanes',b'2',b'regular'
b'4922641',b'maxspeed',b'65 mph',b'regular'
b'4922641',b'oneway',b'yes',b'regular'
b'4922641',b'surface',b'asphalt',b'regular'
b'13279355',b'street',b'Culver Drive',b'destination'
b'13279355',b'highway',b'motorway_link',b'regular'
b'13279355',b'ref',b'99',b'junction'
b'13279355',b'oneway',b'yes',b'regular'
b'13279355',b'cfcc',b'A63',b'tiger'
b'13279355',b'county',"b'Orange, CA'",b'tiger'
b'13280237',b'access',b'private',b'regular'
b'13280237',b'highway',b'service',b'regular'
b'13280237',b'cfcc',b'A74',b'tiger'
b'13280237',b'county',"b'Orange, CA'",b'tiger'
b'13280602',b'highway',b'primary',b'regular'
b'13280602',b'name',b'Entertainment Way',b'regular'
b'13280602',b'oneway',b'yes',b'regular'
b'13280602',b'cfcc',b'A63',b'tiger'
b'13280602',b'county',"b'Orange, CA'",b'tiger'
b'13280602',b'lanes',b'left',b'turn'
b'13280978',b'highway',b'residential',b'regular'
b'13280978',b'name',b'Graduate',b'regular'
b'13280978',b'cfcc',b'A41',b'tiger'
b'13280978',b'county',"b'Orange, CA'",b'tiger'
b'13281481',b'highway',b'motorway_link',b'regular'
b'13281481',b'lanes',b'2',b'regular'
b'13281481',b'maxspeed',b'65 mph',b'regular'
b'13281481',b'oneway',b'yes',b'regular'
b'13281481',b'placement',b'middle_of:2',b'regular'
b'13281481',b'surface',b'asphalt',b'regular'
b'13281481',b'county',"b'Orange, CA'",b'tiger'
b'13281702',b'highway',b'service',b'regular'
b'13281702',b'service',b'driveway',b'regular'
b'13282225',b'access',b'private',b'regular'
b'13282225',b'highway',b'service',b'regular'
b'13282225',b'cfcc',b'A74',b'tiger'
b'13282225',b'county',"b'Orange, CA'",b'tiger'
b'13282225',b'reviewed',b'no',b'tiger'
b'13282225',b'source',b'tiger_import_dch_v0.6_20070809',b'tiger'
b'13282225',b'tlid',b'144095934:144095935',b'tiger'
b'13282225',b'upload_uuid',b'bulk_upload.pl-96b38365-dd2d-4eab-8ec1-33441607e7c5',b'tiger'
b'13282732',b'access',b'private',b'regular'
b'13282732',b'highway',b'service',b'regular'
b'13282732',b'cfcc',b'A74',b'tiger'
b'13282732',b'county',"b'Orange, CA'",b'tiger'
b'13282732',b'reviewed',b'no',b'tiger'
b'13282732',b'source',b'tiger_import_dch_v0.6_20070809',b'tiger'
b'13282732',b'tlid',b'144095943:144095944',b'tiger'
b'13282732',b'upload_uuid',b'bulk_upload.pl-96b38365-dd2d-4eab-8ec1-33441607e7c5',b'tiger'
b'13283625',b'bicycle',b'no',b'regular'
b'13283625',b'destination',b'Long Beach',b'regular'
b'13283625',b'ref',b'I 405 North',b'destination'
b'13283625',b'highway',b'motorway_link',b'regular'
b'13283625',b'lanes',b'1',b'regular'
b'13283625',b'maxspeed',b'65 mph',b'regular'
b'13283625',b'advisory',b'45 mph',b'maxspeed'
b'13283625',b'oneway',b'yes',b'regular'
b'13283625',b'placement',b'transition',b'regular'
b'13283625',b'surface',b'asphalt',b'regular'
b'13283625',b'cfcc',b'A63',b'tiger'
b'13283625',b'county',"b'Orange, CA'",b'tiger'
b'13284964',b'bicycle',b'no',b'regular'
b'13284964',b'hgv',b'designated',b'regular'
b'13284964',b'highway',b'motorway',b'regular'
b'13284964',b'lanes',b'2',b'regular'
b'13284964',b'maxspeed',b'65 mph',b'regular'
b'13284964',b'hgv',b'55 mph',b'maxspeed'
b'13284964',b'trailer',b'55 mph',b'maxspeed'
b'13284964',b'oneway',b'yes',b'regular'
b'13284964',b'ref',b'I 5 Truck',b'regular'
b'13284964',b'cfcc',b'A63',b'tiger'
